         1  LUT3  AC  c?A:B
         2  LUT4  7FFF  /AB\+c+d
         3  LUT4  4000  aBCD
         4  LUT2  8  AB
         5  LUT2  8  AB
         6  LUT2  8  AB
         7  LUT2  8  AB
         8  LUT2  8  AB
         9  LUT2  8  AB
        10  LUT2  8  AB
        11  LUT2  4  aB
        12  LUT4  4000  aBCD
        13  LUT3  40  aBC
        14  LUT2  4  aB
        15  LUT2  4  aB
        16  LUT2  4  aB
        17  LUT2  4  aB
        18  LUT2  4  aB
        19  LUT2  4  aB
        20  LUT2  1  ab
        21  LUT3  F4  (aB)+C
        22  LUT2  1  ab
        23  LUT4  7F00  ((/AB\)+c)D
        24  LUT4  8000  ABCD
        25  LUT4  8000  ABCD
        26  LUT4  8000  ABCD
        27  LUT4  8000  ABCD
        28  LUT4  0001  abcd
        29  LUT2  4  aB
        30  LUT4  8000  ABCD
        31  LUT3  F4  (aB)+C
        32  LUT3  F4  (aB)+C
        33  LUT3  F4  (aB)+C
        34  LUT3  F4  (aB)+C
        35  LUT3  F4  (aB)+C
        36  LUT3  F4  (aB)+C
        37  LUT3  F4  (aB)+C
        38  LUT3  F4  (aB)+C
        39  LUT3  F4  (aB)+C
        40  LUT3  F4  (aB)+C
        41  LUT3  F4  (aB)+C
        42  LUT3  F4  (aB)+C
        43  LUT3  F4  (aB)+C
        44  LUT3  F4  (aB)+C
        45  LUT3  0E  c/ab\
        46  LUT2  1  ab
        47  LUT3  F4  (aB)+C
        48  LUT3  0D  c/Ab\
        49  LUT4  8000  ABCD
        50  LUT4  8000  ABCD
        51  LUT4  8000  ABCD
        52  LUT4  8000  ABCD
        53  LUT4  8000  ABCD
        54  LUT4  0001  abcd
        55  LUT2  4  aB
        56  LUT4  8000  ABCD
        57  LUT3  F4  (aB)+C
        58  LUT3  F4  (aB)+C
        59  LUT3  F4  (aB)+C
        60  LUT3  F4  (aB)+C
        61  LUT3  F4  (aB)+C
        62  LUT3  F4  (aB)+C
        63  LUT3  F4  (aB)+C
        64  LUT3  F4  (aB)+C
        65  LUT3  F4  (aB)+C
        66  LUT3  F4  (aB)+C
        67  LUT3  F4  (aB)+C
        68  LUT3  F4  (aB)+C
        69  LUT3  F4  (aB)+C
        70  LUT3  F4  (aB)+C
        71  LUT3  F4  (aB)+C
        72  LUT3  0E  c/ab\
        73  LUT2  1  ab
        74  LUT3  F4  (aB)+C
        75  LUT4  8000  ABCD
        76  LUT4  8000  ABCD
        77  LUT4  8000  ABCD
        78  LUT3  01  abc
        79  LUT3  70  C/AB\
        80  LUT4  8000  ABCD
        81  LUT3  F4  (aB)+C
        82  LUT3  F4  (aB)+C
        83  LUT3  F4  (aB)+C
        84  LUT3  F4  (aB)+C
        85  LUT3  F4  (aB)+C
        86  LUT3  F4  (aB)+C
        87  LUT3  F4  (aB)+C
        88  LUT3  F4  (aB)+C
        89  LUT3  F4  (aB)+C
        90  LUT3  F4  (aB)+C
        91  LUT3  F4  (aB)+C
        92  LUT3  F4  (aB)+C
        93  LUT3  F4  (aB)+C
        94  LUT3  F4  (aB)+C
        95  LUT3  F4  (aB)+C
        96  LUT3  F4  (aB)+C
        97  LUT3  0E  c/ab\
        98  LUT2  1  ab
        99  LUT3  F4  (aB)+C
       100  LUT2  1  ab
       101  LUT4  0001  abcd
       102  LUT4  8000  ABCD
       103  LUT3  80  ABC
       104  LUT4  8000  ABCD
       105  LUT4  8000  ABCD
       106  LUT4  8000  ABCD
       107  LUT4  8000  ABCD
       108  LUT4  7F00  ((/AB\)+c)D
       109  LUT3  F4  (aB)+C
       110  LUT3  F4  (aB)+C
       111  LUT3  F4  (aB)+C
       112  LUT3  F4  (aB)+C
       113  LUT3  F4  (aB)+C
       114  LUT3  F4  (aB)+C
       115  LUT3  F4  (aB)+C
       116  LUT3  F4  (aB)+C
       117  LUT3  F4  (aB)+C
       118  LUT3  F4  (aB)+C
       119  LUT3  F4  (aB)+C
       120  LUT3  F4  (aB)+C
       121  LUT3  F4  (aB)+C
       122  LUT3  F4  (aB)+C
       123  LUT3  F4  (aB)+C
       124  LUT3  F4  (aB)+C
       125  LUT3  F4  (aB)+C
       126  LUT3  0E  c/ab\
       127  LUT2  1  ab
